Post,Sentiment,Matched Phobias,Matched Keyword
"Distance tests a horse's strength. Time reveals a person's character....",Neutral,"",""
"""Would you like me to give you a formula for success? It’s quite simple, really. Double your rate of failure. You are thinking of failure as the enemy of success. But it isn’t at all. You can be discouraged by failure or you can learn from it, So go ahead and make mistakes. Make all you can. Because remember that’s where you will find success."" – *PROPNAME*",Negative,"",""
"tengo dem problemas...",Neutral,"",""
"“Thoughts are the shadows of our feelings - always darker, emptier and simpler.” -Nietzsche",Negative,"",""
"whom that i know and have not seen in agesss lives in NY city???? flying in this coming saturday and shall be staying for a week!! :)",Neutral,"Pteromerhanophobia,","flying,"
"You can't always get what you want. But if you try, sometimes you'll find what you need. -Rolling Stones",Neutral,"",""
"“Be the change you want to see in the world.”",Positive,"",""
"The creative is the place where no one else has ever been. You have to leave the city of your comfort and go into the wilderness of your intuition. What you'll discover will be wonderful. What you'll discover is yourself.     -*PROPNAME*",Negative,"",""
"MOMA al fin... union square and such...shoe shopping...",Negative,"",""
"....Soy un aprensivo, me sigue la enfermedad, soy un tío vivo, soy un tipo de verdad. Soy caro cuando hay vicio, soy igual desde el principio y hasta el final es lo que tengo, es lo que hay, tengo una paja mental, que ya no sé de qué va....",Negative,"",""
"NY is the BEST!",Positive,"",""
"MIL gratci a TODOS por las congratulations :)",Negative,"",""
"To be nobody but yourself in a world which is doing its best, night and day, to make you everybody else means to fight the hardest battle which any human being can fight; and never stop fighting. ~e.e. cummings",Negative,"Nyctophobia,","night,"
"o be nobody but yourself in a world which is doing its best, night and day, to make you everybody else means to fight the hardest battle which any human being can fight; and never stop fighting.   ~e.e. cummings",Positive,"Nyctophobia,","night,"
"Yuppie (short for ""young urban professional"" or ""young upwardly-mobile professional"") [1] is a 1980s and early 1990s term for financially secure, upper-middle class young people in their 20s and early 30s.  [2]. Although its first usage was as a media catchphrase, it eventually became somewhat derogatory in nature.",Negative,"",""
"QUIERO Nicaragua y el ghetto otra vezz!!!! sonambulear por San Juan del Sur...",Negative,"",""
"“A veces uno es manantial entre rocas y otras veces un árbol con las últimas hojas. Pero hoy me siento apenas como laguna insomne con un embarcadero ya sin embarcaciones una laguna verde inmóvil y paciente conforme con sus algas sus musgos y sus peces, sereno en mi confianza confiando en que una tarde te acerques y te mires, te mires al mirarme….”",Negative,"",""
"""Self-observation brings man to the realization of the necessity of self-change. And in observing himself a man notices that self-observation itself brings about certain changes in his inner processes. He begins to understand that self-observation is an instrument of self-change, a means of awakening.” ---alguien",Positive,"",""
"domingo de descanso total",Neutral,"",""
"No soporto al artista cuya principal motivación sea la provocación. Creo que los grandes provocadores lo son sin proponérselo...         -Pedro Almodovar",Negative,"",""
"TALLER TRIPARTITO PRENDAS NUEVAS A LA VENTA.... vestidos, camisas y pantalones! ABIERTO DE 11am - 8pm LUNES - SABADO!",Negative,"",""
"“I do not fear failure. I only fear the ""slowing up"" of the engine inside of me which is pounding, saying, ""Keep going, someone must be on top, why not you?"" ---*PROPNAME*",Negative,"Claustrophobia,","inside,"
"“Life's challenges are not supposed to paralyze you, they're supposed to help you discover who you are.”",Negative,"",""
"KAP BAMBINO YAYYYYYYY!",Positive,"",""
"HOY ArTCitY TOUR pasa por CasaTripartito, nuevas prendas Tripartito+performance por la PieldeNaranjayLaQuince + EXPO CARLOS DE PAZ celebrando 15 años de unión con *PROPNAME* Galería.... Cierre en el Bar Steinvorth!",Negative,"",""
"en montevideo donde rodri que es un amor.... a ver a dani y ern.... con los umpis :)",Negative,"",""
"montevideo es lo MAS!",Neutral,"",""
"stress-free... finally",Neutral,"",""
"FELIZ AÑÑOOOO TODOSSS!!!!!!!!!!!!!!",Negative,"",""
"@ BUENOS AIRES: ARGENTINA :)",Negative,"",""
"últimos días en buenos aires..... jardínes, warhol, cuero, y más carne!",Very positive,"",""
"“When we are debating an issue, loyalty means giving me your honest opinion, whether you think I'll like it or not. Disagreement, at this stage, stimulates me. But once a decision has been made, the debate ends. From that point on, loyalty means executing the decision as if it were your own.”",Positive,"",""
"feliz navidad a todossss.... @ aeropuerto Lima",Negative,"",""
"Disobedience, in the eyes of anyone who has read history, is man's original virtue. It is through disobedience that progress has been made, through disobedience and through rebellion. --oscar wilde",Negative,"",""
"14 de marzo: GAURA MANTRA FEST: JACOB KARPIO GALERIA",Negative,"",""
"...Los amorosos andan como locos  porque están solos, solos, solos,  entregándose, dándose a cada rato,  llorando porque no salvan al amor.... -*PROPNAME* (se me había olvidado la poesía, gracias jess)",Very negative,"",""
"whitney museum.... media biblioteca... mañana MOMA, Union Square...",Negative,"",""
"---I wanted a perfect ending. Now I've learned, the hard way, that some poems don't rhyme, and some stories don't have a clear beginning, middle, and end. Life is about not knowing, having to change, taking the moment and making the best of it, without kn",Negative,"",""
"jazz is so pleasant :).... bliss",Positive,"",""
"“Men are like a fine wine. They all start out like grapes, and it's our job to stomp on them and keep them in the dark until they mature into something you'd like to have dinner with.”  *PROPNAME* quotes",Positive,"Nyctophobia,","dark,"
"Press on- nothing can take the place of persistence. Talent will not; nothing is more common than unsuccessful men with talent. Genius will not; unrewarded genius is almost a proverb. Education will not; the world is full of educated derelicts. Perseverance and determination alone are omnipotent. *PROPNAME*",Negative,"",""
"Colors, like features, follow the changes of the emotions.",Neutral,"",""
"Insanity in individuals is something rare - but in groups, parties, nations and epochs, it is the rule.",Neutral,"",""
"....Que no te falte capacidad, para discernir el mas aca, del confuso mas alla, que es realidad aparte.....  --(bunbury)",Negative,"",""
"I, not events, have the power to make me happy or unhappy today. I can choose which it shall be. Yesterday is dead, tomorrow hasn't arrived yet. I have just one day, today, and I'm going to be happy in it. -----Grouch Marx",Negative,"",""
"Morality, like art, means drawing a line someplace. ---Oscar Wilde",Positive,"",""
"Everything is fine until it isn’t. And then you deal with it.",Positive,"",""
"“If one dream should fall and break into a thousand pieces, never be afraid to pick one of those pieces up and begin again.” --*PROPNAME*,",Negative,"",""
"insomnia... :-",Neutral,"",""
"had the worst surf session of my life!",Negative,"",""
"just got 16 orders all at once. sick.",Positive,"",""
"is beat!",Positive,"",""
"drove over 250miles throughout LA!! Just for work orders today. Sick.",Negative,"",""
"whats up with real estate REO agents lately?? they need to take the arrogance-stick out of their buttocks.",Neutral,"",""
"you down for some party bus action this friday to dive bars around the beach? let me know asap.",Negative,"",""
"best week of surf, worst week for the company. dunno how to feel bout that.",Negative,"",""
"taking the rest of the day off.",Neutral,"",""
"longest day ever and tomorrow will be worse. super!",Negative,"",""
"at the beach... then work. priorities.",Positive,"",""
"3 days in a row of super fun surf!!!... should prob work sometime this week.",Neutral,"",""
"hungry. fee me.",Neutral,"",""
"depression... day before 26. lame",Neutral,"",""
"still feeling it",Positive,"",""
"off to work! lame.",Neutral,"",""
"had the biggest week in my company's history and its only Tuesday! yay! www.cdmpropertypreservation.com",Negative,"",""
"on my way to berkeley!!!! cheese board here i come:)",Neutral,"",""
"off to work, then to surf.",Neutral,"",""
"buying my flight to hawaii... yes, that is right brian. 7 days. that translates to getting a job as a cabana boy and never coming back to the mainland.",Negative,"",""
"need new clients!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!",Neutral,"",""
"going to surf, eat no ka oi, then work.",Negative,"",""
"wants the webber mini fish!!! looks so good.",Neutral,"",""
"happy hour = bad idea.",Negative,"",""
"is moving to spain!!! no, new zealand. yay. come visit.",Positive,"",""
"off to see COMPANY OF THIEVES. pumped to slay later.",Negative,"",""
"still hungover!! but well worth it.",Positive,"",""
"partyin HB side with tools and my friends.",Positive,"",""
"back to school. on the path to becoming a Physician assistant.",Neutral,"",""
"cmon weekend! good shit on the way. ooo oooooo.",Positive,"",""
"Cannot find episode 13 season 1 of MAD MEN!!! what the frick internet!",Negative,"",""
"driving to the LBC.",Neutral,"",""
"afi out today. yay",Positive,"",""
"Going to Laughlin???",Neutral,"",""
"still dont get the point of the GRE.... who made up these fn words?",Negative,"",""
"frustrated and need motivation!!!!!!!!!!!!!!!!!!!!",Neutral,"",""
"surfing sloat in the AM. yay!",Neutral,"",""
"dexter is so money",Neutral,"",""
"served.",Neutral,"",""
"just finished glassing my broken board and im high as shit from the resin. feels wrong.",Negative,"Acrophobia,","high,"
"surf, then continue trying to slay the GRE.",Neutral,"",""
"start my new life on monday.",Neutral,"",""
"forgot the most important paperwork for tomorrow in LA!!! #@#!@!#R#%#!!!!",Neutral,"",""
"it's unpatriotic and Terrorist-embracing to do anything but praise the President like some sort of college cheerleader... Calling people unpatriotic and comparing them to Terrorists for failing to fulfill their solemn duty to praise the President on his Special Day and mindlessly support his accolades isn't clever or tough politics.  It's weak, counter-productive, unprincipled, dumb and dangerous. --*PROPNAME*.",Negative,"",""
"glad i got the flu vaccination. $30 to feel like i have the flu. well spent.",Positive,"",""
"sooooo spent! sleep.",Positive,"",""
"actually excited to be up this early!",Positive,"",""
"would be nice to get some good surf without having to drive allllll the way south; i mean it is my bday.",Negative,"",""
"obama won the Nobel Peace Prize!!!! LAAAAAAAAMMMME!",Positive,"",""
"need to go back to sleep!!!!!!!!!!",Negative,"",""
"has an extra tiger army ticket for this weekend 10//24. $26.",Positive,"",""
"is now trained in changing adult diapers, moving from gurney to bed, and bathing patients. one more step closer to my MPA!!",Positive,"",""
"i dont get it. baseball is super boring.",Neutral,"",""
"Just bought my three nights in San Fan! *PROPNAME*.",Positive,"Nyctophobia,","nights,"
"anyone have any good vocab tricks for memorizing GRE words?!!!! or stuff they can email me?",Neutral,"",""
"has an extra Company of Thieves ticket for tomorrow night at the HOB. Lemme know if you want it!! $30",Positive,"Nyctophobia,","night,"
"best surf in a while. cant stop smiling. whos going tomorrow?",Positive,"",""
"cannot focus on my exam!!!!!",Negative,"",""
"usc can lick my balls",Neutral,"",""
"have an extra Tiger Army ticket for tomorrow night in Hollywood.",Neutral,"Nyctophobia,","night,"
"T minus 5 years and ill be done with my masters... ill be old too.",Negative,"",""
"anyone wanna surf in the am.... after 10???????!",Negative,"",""
"bout to surf under the golden gate!... before the surf is too huge. hi erik. im sitting next to you; wanna get breakfast?",Negative,"",""
"practicing patient assessment on my mom's daycare kids is more difficult than i thought. haha",Negative,"",""
"The new MUSE is intense! DUcks game 2nite. yay putos.",Positive,"",""
"off to san fran.",Neutral,"",""
"anyone know of a place where I can take a condensed organic chem class??",Neutral,"",""
"start ""insanity"" tomorrow. eek.",Neutral,"",""
"better ace my exam considering i missed the best day of surfing in a long ass time!!!! so mad right now.",Negative,"",""
"red wings blow",Neutral,"",""
"whos in SF and is going out tonight?",Negative,"",""
"going out for the first time in a loong time and my only chance for a long time.",Negative,"",""
"iTunes is soooo bad! im going broke.",Negative,"",""
"cant believe the Ducks traded Pronger! Morons.",Positive,"",""
"last trauma exam tomorrow! ooo ooooo!",Positive,"",""
"surf was amazing this morning. sooooooooo ready for life now.",Positive,"",""
"class 8am - 5pm! snap son.",Positive,"",""
"Gosh darn it!!!! I just saw a group of 5 Jehovah’s witnesses outside my neighbor's house!! That means they are on the way to my house! they saw me get something from my car so they know im home; now im going to have to argue with them.",Negative,"Agoraphobia,","outside,"
"Practice question for my EMT exam ""its early afternoon and the alarm sounds You are called to a scene at a railroad one of the workers is trapped between 2 cars. He is alert and tells you that as soon as the cars are moved he will die. He asks that you leave him alone with his wife and to do nothing heroic. which emotional response to death is your patient exhibiting?"" ...uhhhhh how intense is that?!",Negative,"Necrophobia,","death,"
"just bought some rad GRE test prep supplies. Super excited.",Negative,"",""
"final EMT exam and skill exam this week!!! eeeeek.",Negative,"",""
"frick! my chem class is filled up already and i need it or the next two years of my life is messed up!!!!!",Negative,"",""
"damnit ducks!!! WIN SOMETHING!!!",Neutral,"",""
"c'mon! couldnt there be a LITTLE SURF on my one day off!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!",Neutral,"",""
"Tiger Army and Bleedning Through! FriggnA",Positive,"",""
"i am thankful for yams.",Neutral,"",""
"http:////www.hulu.com//watch//67878//the-future-of-food?c=News-and-Information",Neutral,"",""
"have an extra Company of Thieves ticket for next tuesday's show. who wants to go?",Positive,"",""
"2-3 times overhead with occasional 18 ft.and fair to good conditions.",Positive,"",""
"bored and over reading about emergency medicine... this shit can be depressing as hell!!!!",Very negative,"",""
"anyone have extra tickets to the rise against show?",Neutral,"",""
"the new dexter was bulllshit!!! cant kill rita!!! im seriously sad.",Neutral,"",""
"being sick is the cooolest.",Negative,"",""
"going to the AFI rise against show tonight.  I have 2 extra tickets call me if you wanna buy them 714 612 0723.",Neutral,"",""
"freakin beat and super hungry.",Positive,"",""
"God, i love the Onion.",Positive,"",""
"passed the national EMT exam; off to find a JOB!!! yaaaaay for money.",Negative,"",""
"mmm, just planned vegas 2009. 23 days and counting.",Negative,"",""
"howard zinn's a people's history of the united states is debuts sunday night and is showing at UCLA tomorrow. Whos coming with me?",Negative,"Nyctophobia,","night,"
"hahah wheeler hall is under siege",Negative,"",""
"arrrr!!!!!!!!!!! my only day off and NO surf.",Negative,"",""
"off to RISE AGAINST with gman and blade. you will find us in the parking lot drinking the sparks. you know youre jealous.",Positive,"",""
"off to colorado!!!",Neutral,"",""
"so sick kill me now",Negative,"",""
"arrrrrrrr why did they cancel TRAUMA!?",Neutral,"",""
"finishing two work orders today then camping tonight and surfing alllll day tomorrow! holler!",Negative,"",""
"has extra tickets to KROQ almost accoustic Xmas... lemme know if u want them.",Positive,"",""
"yay! just got assigned to the Emergency Department for my next rotation at HOAG. super pumped.",Negative,"",""
"start my Emergency Department training tomorrow!! Oo, OOO!",Neutral,"",""
"packing for the move back to berkeley. so pumped for some cheeseboard.",Positive,"",""
"total cost for books $310 via school website. I paid $44 for ALL of them on Amazon. How rad is that?!",Neutral,"",""
"finally found the chem class that i need!!! its in oakland... just enrolled and get to move back to Berkeley!!!!!!!!",Negative,"",""
"wants to be rich!!!!!!!!!!!!!! filthy. c'mon lotto...",Positive,"",""
"needs some surf!!",Neutral,"",""
"so pumped to be moving back to berk!!1 oo, ooooooo!!!",Positive,"",""
"fn bored!!! hi east bay!! where are my old friends??? im hanging out with a chem book all day. and to make things worse, there are no waves anywhere... losing my mind.",Negative,"",""
"has an extra ticket to the Ducks// Sharks game tonight. section203 row M... only the best seats in the house. $26!! Plus you get to sit by me.",Negative,"",""
"online traffic school is exciting.",Positive,"",""
"if you know anyone that works for an ambulance company in the east bay, let me know!!!",Negative,"",""
"c'mon ducks! kill it! i wanna do you",Neutral,"",""
"scored a rad position at HOAG hospital as a Clinical Care Extender. On my way to a masters in PA science! holler.",Negative,"",""
"so happy to live in a country where you pay for your education. grand idea!",Positive,"",""
"first day in the ER tomorrow. intense!",Neutral,"",""
"on my way to berkeley... im broke need to find an EMT job asap. Sent me $$$. thanks",Negative,"",""
"chemistry is like being punched in the brain.",Negative,"",""
"EMT exam has got me stressssssssing!!!!! ahhhhhhhh. too much crap",Negative,"",""
"can decided whether to be on the USA side or the CAN side for hockey??? leaning canada....",Neutral,"",""
"is attic apartment and tornado don't mix...the question is where to take cover?",Negative,"",""
"is wondering why it's not sunny.",Negative,"",""
"Grand slam D *PROPNAME*!!!!",Negative,"",""
"has successfully completed scuba dives 1 and 2!",Positive,"",""
"canoeing during a severe thunderstorm with hail...not a good idea.",Negative,"",""
"Is packed and ready to go to San Francisco//Napa Valley!",Neutral,"",""
"is let the San Francisco adventure begin!",Positive,"",""
"No one should die because they cannot afford health care, and no one should go broke because they get sick. If you agree, please post this as your status for the rest of the day. Nor should people be forced to go without insurance because the cost of... ""insuring"" oneself is more than their cost of living.",Neutral,"",""
"Go Hawkeyes!",Neutral,"",""
"Is now a certified scuba diver!",Positive,"",""
"Go HAWKS!!! Survived the cold and pulled out a win!",Negative,"",""
"is boycotting the 30% chance of rain//snow on Saturday.",Negative,"",""
"is headed to India over winter break!",Positive,"",""
"Oh tetanus shot, why must you hurt so much?!",Negative,"",""
"will be tailgating at the Iowa game...no rain please!",Positive,"",""
"Go Hawks! Ranked 9th!",Neutral,"",""
"Hawkeyes you almost killed me tonight! Thank god we won!",Negative,"",""
"2 classes down...one essay to go. Almost done for the semester!",Negative,"",""
"is wishing I didn't have to proctor an exam at 7:30 am on Monday...I hate mornings.",Negative,"",""
"Harry Potter was excellent!",Positive,"",""
"is done with her fifth semester of graduate school!",Neutral,"",""
"just got the oral typhoid vaccine and wonders how many people actually read the informational sheet provided.  I think their references are a little outdated.",Positive,"",""
"is happy to have a new, working laptop.",Positive,"",""
"The only good thing about the 11 hour bus ride from Chennai to Madurai...we didn't die...despite the multiple attempts by the bus driver. Surprisenly we didn't hit any dogs, pedestrians, bicycles, motos, cars or trucks...very surprising.",Negative,"Cynophobia,","dogs,"
"Wonders why the president is wearing a White Sox coat?",Neutral,"",""
"I was attacked by a monkey today on the way to Kodaikanal. Luckly he bit my jeans and not my leg since I hear the rabies shot is not a lot of fun.",Negative,"",""
"Go Iowa!",Neutral,"",""
"was handed a random baby at the Temple today for a photo opt...Happy Pongal.",Negative,"",""
"is starting the long process of heading home.",Neutral,"",""
"is glad the Hawks won even if I was out in rural India and couldn't watch the game.",Negative,"",""
"purchased my first sari and is wearing it to the New Year's party tonight.",Negative,"",""
"Dear Iowa Winter, you win.",Positive,"",""
"Laissez le bon temps rouler!",Neutral,"",""
"No, I don't want any Patriotic Panties! Stupid facebook ads",Negative,"",""
"Is aparently the new Michael Jackson. The real one will be missed though.",Neutral,"",""
"pretty happy after a good weekend, and after getting to go to a party and see some really close PCC friends once more",Positive,"",""
"I'm trying to think of what's on my mind right now",Neutral,"",""
"finally got behind the wheel of a vehicle today... and nearly crapped his pance!",Positive,"",""
"is now a permitted driver and organ doner!",Neutral,"",""
"Know what sucks, when there is this one person who the first time you saw them you thought they had absolutely one of the most lovable personalities and nicest smiles ever and you try to let them know that they mean so much to you in the little time you have around them and somewhat fail to do that then you keep in touch with them nearly every week you're not around them for a year and you see them only",Negative,"",""
"both times you plan to tell them that and fail each time, so you right one of the longest, heartfelt notes about them to show them the next time you're with them and when you finally find your grand chance to see them and maybe finally tell them that they've meant more to you than anyone else you've ever known you find out that they've just got into a relationship with someone else.",Neutral,"",""
"saw airforce one yesterday on Otis Airforce Base.",Neutral,"",""
"just got back from a Nickelback concert.",Positive,"",""
"enjoyed doing Thriller on stage at the Oktoberfest",Positive,"",""
"two times in that period,",Neutral,"",""
"Snow day! Woohoo! Ha this is my first status update in like three months. Umm, giggidy, giggidy, goo!",Positive,"",""
"will be in SJ as of tonight! He'll be in town till Saturday morning so call him and rescue him from the boredom that is his house.",Negative,"",""
"is unexplainably down :\",Negative,"",""
"has one more day in San Jose before he disappears back to the otherness of Sacramento.",Positive,"",""
"has been waking up obscenely early the last couple of days; is anyone up for breakfast now that I've been awake and hour and a half?",Negative,"",""
"is finally home :)",Neutral,"",""
"is further failing at life. Why do they give me extra bureaucratic hoops when I keep proving that I fail at jumping through them ><",Negative,"",""
"would like the world to know that this next week he intends to BE awesome and fix all of his problems.",Negative,"",""
"loves beautiful music of every shape and size",Positive,"",""
"is home and catching up on facebook :)",Neutral,"",""
"is leaving for Anaheim super soon!",Positive,"",""
"had a fantabulous week and would like thank all his SJ friends for making that happen. It was great to see all of you. :D",Negative,"",""
"Is hoping his Sunday will turn out as well as his Saturday did.",Neutral,"",""
"Is off to run some errands",Neutral,"",""
"cannot fall asleep ><",Negative,"",""
"likes that it really rained last night :)",Neutral,"Nyctophobia,","night,"
"is tired, and off to bed",Negative,"",""
"Classety Class class class... :\",Positive,"",""
"No one should be frozen in carbonite, or be slowly digested for a thousand years in the bowels of a sarlaac, just because they couldn't pay *PROPNAME* what they owe him. If you agree, post this as your status.",Negative,"",""
"a bit of relaxation and then an hour of Beethoven.",Neutral,"",""
"Congratulations All-hallowians, I enjoyed a wonderful concert!",Positive,"",""
"needs internal motivation.",Neutral,"",""
"has HW for tomorrow and Wednesday that doesn't want to be done",Neutral,"",""
"Walk, then HW",Positive,"",""
"Last day of adding... *fingers are crossed*",Positive,"",""
"Home after two rehearsals back to back... whew time for some relaxation then a nice long sleep :)",Negative,"",""
"English English English",Neutral,"",""
"another week of school!!! yay.......",Neutral,"",""
"Autumn Cleaning Day",Neutral,"",""
"thinks it's awesome that he's sitting in his room in a sweater because he left the window open during the day.",Neutral,"",""
"Darn you *PROPNAME*'s... my insides are very unhappy :(",Negative,"Claustrophobia,","insides,"
"Laundry almost done... it was a lovely day for a walk",Positive,"",""
"Yay... beethoven is over!",Positive,"",""
"hates it when people are dishonest. :\",Negative,"",""
"Sleep.",Neutral,"",""
"Sunday wasn't quite as awesome, but it was still a good day :P",Positive,"",""
"Hates that he gets home from choir at 9:30 or 10:00 and glee doesn't go up online till about 1 am ><",Negative,"",""
"need some time with my brain... time for a walk",Neutral,"",""
"Question... does anyone actually use the poke feature on facebook anymore?",Negative,"",""
"Thinks that chrome has come a long way since the first time he tried it, and has gotten fed up enough with Firefox that he's willing to give it another shot.",Positive,"",""
"Has 8 invites to google wave... I'd love to try it out with anyone that has a shared class with me. Let me know if you want in!",Positive,"",""
"Would like to thank everyone for the wonderful birthday wishes... It's quite pleasant to be harrassed by facebook 1 day a year ;)",Positive,"",""
"blah....",Positive,"",""
"*PROPNAME* just started working on his first Mozart Aria... a bit late but it'll have to do :)",Negative,"",""
"Is officially a bit of a stupid-head... had this crazy notion that my idiocy might not screw me over for certain but oh well.",Negative,"",""
"And every time I've held a rose, it seems I only felt the thorns",Negative,"",""
"Wowza running tomorrow morning supa early",Neutral,"",""
"MUST WORK, but the facebook demands my time!",Neutral,"",""
"Transparent",Neutral,"",""
"thinks that it is impossible to be TOO heavenly minded. Watch. Those who are ""too heavenly minded"" will do the greatest good here.",Positive,"",""
"A prospering tree does not eat it's own fruit. A prospering tree produces fruit that others might eat.",Negative,"",""
"""knowledge without repentance will be but a torch to light your way to hell""",Neutral,"",""
"Hallelujah! Hallelujah! Holy! Holy! Are you Lord God almighty! Worthy is the Lamb, worthy is the Lamb that was slain! Unto you be all glory and honor and praise! May my life bring glory to your name :)",Negative,"",""
"is praying hard to be just one who scatters seed on the earth.",Negative,"",""
"wonders at the absolute absurdity of man's hatred...Christ summed up all the goodness we are capable of in two commands...none of us even follows just one of them.",Negative,"",""
"says happy fathers day! In honor of my heavenly Father, who's never forsaken me or let me down. May you ever be praised, Dad :)",Negative,"",""
"Is going completely insane with anticipation :) T-minus 24 hours til *PROPNAME*'s arrival in Nashville!",Negative,"",""
"God is faithful to His word and to those to whom He has given it",Positive,"",""
"An awakening? Lord awaken the sleeper. Let our eyes burst open to the rising light of Your Spirit. Let Your mercy wash us and let Your holiness mold us into the image of Your Son. Break us with fire and build us from the ashes. Come to life you dry, old b",Negative,"",""
"An awakening? Lord awaken the sleeper. Let our eyes burst open to the rising light of Your Spirit. Let Your mercy wash us and let Your holiness mold us into the image of Your Son. Break us with fire and build us from the ashes. Come to life you dry, old b",Negative,"",""
"Whatever good I do comes not from me. Goodness is of God, and through me He chooses to make His power known. Thank You, Lord.",Positive,"",""
"is being conformed to the image of Christ. Do you want to be like Jesus? Then you must learn something...you must learn how to love someone who does not meet the conditions. It's not easy, but it's not impossible.",Neutral,"",""
"Lord let your glory fall as on that ancient day. Let it fall on both of them. Let your grace be made known eternally and mightily.",Neutral,"",""
"When paul says ""I can do all things through Christ who strengthens me""...I think, ""I can do nothing without You, dear Jesus, who strengthens me""",Neutral,"",""
"hungers and thirsts for righteousness.",Positive,"",""
"Truly knows so little. Thank You, Oh Lord, that You are wise and You are mighty. Thank You, Lord, that Your grace knows no limits or bounds. I pray You're will be done here on earth as it is in heaven and that we give You glory with our lives.",Positive,"",""
"is. Learning to be at peace and just be is harder than it should be ;). Lord you are. You just ARE. Teach me to be like you. Teach me to be.",Negative,"",""
"will gladly boast in his weaknesses. When I am weak, then He is strong. Your might, oh Lord is endless. Please cover over me. Please cover over your beloved..Lest we  all fall in overwhelming shame under the weight of our imperfections.",Negative,"",""
"let me be one who leans on his staff in the last days...broken and weak, and in that weakness let me lift my hands in honor and praise to He who saved me by His own merit. Thank You dear Father who makes His goodness known in me. May You be glorified.",Negative,"",""
"is a tax collector who standing afar off would not even raise his eyes to heaven. I pray, ""God, be merciful to me, a sinner.""",Negative,"",""
"stop regarding men. What account is he? --isaiah 2:22.. We are nothing more than a nose-full of breath. Oh man, how frail are you? Why do you expect regard? Why do I?",Negative,"",""
"is a deer panting for your living water. I thirst for the living God and in my thirst I need your rest. Precious Lord, carry me for even at my strongest I lack the strength to stand on my own. Amen",Negative,"",""
"Gimme your eyes for just one second. Gimme your eyes so I can see. Everything that I keep missin, gimme your love for humanity. Gimme your arms for the broken-hearted, the ones that are far beyond my reach...",Neutral,"",""
"Jesus. You're the lover of my soul. Jesus. I will never let you go. You've taken me from the mirey place; set my feet upon the rock, and now I know...",Negative,"",""
"is excited her :D For serious, that's all i can think about",Positive,"",""
"Because you, oh Lord, are He who created all things, sustains all things, and knows all things. All things came from you, are of you, and will return unto your breast from whence they came. Blessing and honor and glory to you, oh Father. This is the song of my spirit...praising its origin. You. My God.",Positive,"",""
"is excited to see her :D For serious, that's all i can think about",Positive,"",""
"Lord, be my portion. Christ trusted you to provide all the help He ever needed. Let me do the same.",Neutral,"",""
"loves being broken. It means I fought hard and didn't give up. I'll wrestle with you, oh God of Jacob, and I won't let go.",Negative,"",""
"thinks its a kind of non-funny cosmic joke that if he really ever does defeat pride...he will find himself proud of his humility. :P Good call *PROPNAME*",Positive,"",""
"Let me know you more deeply and truely, oh Lord. There are none who know you completely, and so I pray that YOU show me. Your ways are perfect and I want my life to sing your praise. Let me walk with love, joy, peace, patience, kindness, goodness, gentleness, and self-control. Against such things there is no law.",Positive,"",""
"Dude, I'm freaking engaged! To the sweetest angel of a fiance ever! Thank you Lord for your love through this woman :D",Positive,"",""
"I love *PROPNAME* 0:)",Neutral,"",""
"is anxiously attached. I don't know how to ask for help. And I don't know how to accept it. ---i'll drag my own intestines back to dyer, thank you very much.",Negative,"",""
"""hope in a wasteland of faith; stone figures hewn down; blood flowing through ancient sewers""",Neutral,"Hemophobia,","blood,"
"I can't remember when the earth turned slowly...so i'll just wait here with the lights turned out again. I lost my place, but I can't stop this story. I'll find my way, but til then I'm only...spinning",Negative,"",""
"Lord please bless our time together. Its so difficult to go so long without being with the treasure You have graced my life with. I pray that you bring her to me safely and that I pursue her well.",Negative,"",""
"This will probably take a good long while to get used to :) I think I'm still in shock. Haha. I have a fiance. Wow. And not just any fiance; I am pursuing the pearl of great value :D",Negative,"",""
"Everlasting, Eternal One, Zealous Conqueror, Creator, Sustainer, Almighty...how can I appeal to your highest pleasure. What can I bring to you that you do not already have? Vanity. Even to define my mission as one to bring you glory is utter foolishness. What can I lift up with these dirty hands? What can I sing with defiled lips?",Positive,"",""
"is waiting on the Lord this morning",Neutral,"",""
"To understand how ridiculously excited I am to see my fiance, you must first win the lottery, do somersaults, run a hundred miles effortlessly, wake up to birds chirping, eat a super-yummy meal, and be addicted to oxygen...then you might get close to scratching the surface. Maybe",Negative,"",""
"is examining himself. 2 Cor 13:5. Testing himself to see if he is in the faith. Work out your salvation with fear and trembling for it is God who works in you to will and to act according to His good purpose. Phillipians 2:12-13",Positive,"",""
"we're goin down down in an earlier round...a loaded god complex is pointed right at us. Lord, please be God here. Please bless our hearts of love",Positive,"",""
"bring on this semester :) What fun things will I learn?? Only God knows :) ..someone's always missing from this campus though.. last term without her...sigh*",Positive,"",""
"is with his darling...oh what simple things many take for granted. Thank you Lord for your gift of life. Thank you Lord for *PROPNAME* :)",Positive,"",""
"""I know what lies beyond this life for me is already won. No one can take away the blood that covers over my bones. Without the blood of perfect life I know I'm nothing at all.""",Neutral,"Hemophobia,Hemophobia,","blood,blood,"
